iter,mu,sigma2,nu
3885,0.0012222842209357427,3.4752615269608816e-05,3.682715751162751
3890,0.0007018349656491919,3.973277194342764e-05,3.857998141663624
3895,0.0012805442471424528,3.942545993955874e-05,3.573467044010429
3900,0.0007198520194756703,4.333735941083895e-05,3.8666591403376485
3905,0.000796094304772715,4.647033788181363e-05,4.076298825992249
3910,0.0008552112448951127,4.0737180799846225e-05,4.30852684439702
3915,0.001110324982028029,3.716549718045387e-05,4.284130445516034
3920,0.0012000362305568646,3.948226017944725e-05,4.011430707334343
3925,0.0012430362239505323,4.185471213275613e-05,3.994293385693375
3930,0.0012726982568767907,3.951447651806941e-05,4.108674280375142
3935,0.0005740708489225818,3.7495695959794195e-05,3.973497365234001
3940,0.0009829216584903945,3.714542073643858e-05,3.79390278098563
3945,0.0013600933193431703,4.1536774560765546e-05,3.9102512161581795
3950,0.0008049820039578686,4.0678881446817085e-05,3.8841493803541427
3955,0.0009846357691729885,3.876150602317191e-05,3.5585974335647688
3960,0.0009007438704261323,4.190191356960364e-05,3.5783021980447662
3965,0.0006704698076034745,4.137839861134418e-05,3.5780000079894876
3970,0.0007311099278776422,3.584987974660015e-05,3.457136476254406
3975,0.0009502423323086199,3.8595451848646375e-05,3.3120607117459455
3980,0.00106270200313758,3.93162975188517e-05,3.460110077377405
3985,0.0010643163719696157,3.8379383795713986e-05,3.516377061928838
3990,0.0007183532549586791,4.067381775666744e-05,3.6883463857736616
3995,0.0013344052956235015,4.48388345279453e-05,4.0136985970473456
4000,0.0006892522281388566,4.235181263997923e-05,3.66081507618223
4005,0.0010041545388009244,3.912320301390731e-05,3.727123166125292
4010,0.0012281931749884626,4.200336822018616e-05,4.061645763819186
4015,0.00035461206481084086,4.1109245328026e-05,4.096930195606387
4020,0.0004066997376273366,3.324556460128372e-05,3.8642349832790033
4025,0.0007702177303641789,4.021992767981487e-05,3.5693347447091983
4030,0.0014258353621022979,4.1765599559584784e-05,3.5428215423124305
4035,0.0010753427180969994,3.820962603726373e-05,3.8064538119055475
4040,0.0008737831282880565,4.074042024277069e-05,3.700246800457782
4045,0.0011354435470448108,4.095622953662321e-05,3.7897475031261845
4050,0.0008686022672016022,4.203832650946208e-05,3.726997104252731
4055,0.0010269257284553932,4.178066180896332e-05,3.678695814859127
4060,0.0012247014277665467,3.6781665025800235e-05,3.4212967628866746
4065,0.0010834627142104515,4.314238758342111e-05,3.5870673072426444
4070,0.0013398134404934104,3.9463405677000366e-05,3.8389380149554473
4075,0.0005280724729162349,3.529696593780185e-05,3.4718241970449157
4080,0.001164879650343543,3.659753168532975e-05,3.5792872350192217
4085,0.00031557428768942247,3.888429754514994e-05,4.0442200540221585
4090,0.0006846593699801437,3.694409710437495e-05,3.5665873468120926
4095,0.0004305824905277327,4.257060257252701e-05,3.9765934037007495
4100,0.001017406564769884,3.508630618557554e-05,4.1562194339646155
4105,0.0012516367741091422,3.2925299844522604e-05,3.7500740705391795
4110,0.001196951333865294,3.6201718917689954e-05,3.752096710239485
4115,0.0007609805219243837,4.500151092606702e-05,4.046300698864014
4120,0.0006576104106691203,4.3764944955358865e-05,4.560537343759185
4125,0.001124757980657171,4.212202861901723e-05,4.043136054489905
4130,0.0010488577966025058,4.480772639102038e-05,3.7083570014525824
4135,0.0013004100873357555,3.590847091594091e-05,3.7279002091527444
